Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
122,867,153,Sep 21,CHC,,PIT,L6-8,CG,5,3,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,.311,.357,.540,.897,4,1.62,-0.052,3.06,-0.06%,0.01,11.00,15.20,1B
123,868,154,Sep 22,CHC,,COL,W6-0,CG,4,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,.309,.358,.538,.896,4,.79,0.019,1.38,0.02%,0.33,4.00,6.00,1B
124,869,155,Sep 23,CHC,,COL,W6-3,CG,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.307,.355,.535,.890,4,1.62,-0.077,3.31,-0.09%,-0.98,2.00,3.50,1B
125,870,156,Sep 24,CHC,,COL,W4-3,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.305,.355,.531,.886,4,.86,-0.054,1.75,-0.07%,-0.41,2.00,3.00,1B
126,871,157,Sep 26,CHC,@,ATL,L6-7,CG,5,4,2,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,.309,.359,.533,.892,4,1.01,0.174,2.22,0.23%,1.02,17.00,21.90,1B CF
127,872,158,Sep 27,CHC,@,ATL,L5-6,CG(10),5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.310,.359,.532,.891,4,.90,0.052,2.25,0.08%,0.40,8.00,9.20,CF 1B
128,873,159,Sep 28,CHC,@,ATL,L3-5,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.310,.358,.530,.888,4,.90,0.011,2.23,0.02%,-0.05,3.00,3.00,1B
129,874,160,Sep 29,CHC,@,MIL,L3-4,CG(10),4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.307,.356,.525,.881,4,1.10,-0.113,3.04,-0.19%,-0.76,0.00,0.00,1B
130,875,161,Sep 30,CHC,@,MIL,W10-6,GS-8,5,4,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.307,.356,.525,.881,4,1.05,0.097,.98,0.05%,1.07,11.00,15.70,CF
,,,,,,,69-61,,556,499,95,153,29,1,26,97,40,3,87,5,0,12,6,7,20,6,.307,.356,.525,.881,,1.02,2.266,1.09,0.67%,29.04,1278.00,1684.50,
