Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
82,827,113,Aug 7,CHC,@,NYM,L2-11,GS-8,3,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.332,.383,.552,.935,4,1.17,0.139,1.44,0.10%,2.01,13.00,16.00,CF
83,828,114,Aug 8,CHC,@,NYM,W3-2,CG,4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.331,.382,.557,.939,4,1.01,0.013,1.15,0.01%,0.20,14.00,18.70,CF
84,829,115,Aug 9,CHC,@,NYM,L3-4,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.327,.377,.550,.928,4,.85,-0.086,1.04,-0.06%,-0.76,0.00,0.00,CF 1B
85,830,116,Aug 11,CHC,@,TOR,W6-2,CG,4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.329,.379,.559,.938,4,.53,0.142,.59,0.09%,1.92,19.00,25.20,1B
86,831,117,Aug 12,CHC,@,TOR,W5-4,CG,4,4,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.331,.380,.561,.942,4,1.58,0.288,1.80,0.20%,1.58,14.00,18.90,1B
87,832,118,Aug 13,CHC,@,TOR,L4-11,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.328,.379,.556,.935,4,.73,-0.009,.86,-0.01%,-0.44,2.00,3.00,CF
88,833,119,Aug 15,CHC,,CHW,L3-5,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.325,.377,.551,.929,4,1.41,-0.103,1.54,-0.07%,-0.59,2.00,3.00,1B
89,834,120,Aug 16,CHC,,CHW,W4-3,CG,4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.327,.379,.554,.932,4,1.50,0.090,1.61,0.06%,0.25,10.00,12.20,1B CF
90,835,121,Aug 18,CHC,,KCR,L3-4,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.323,.374,.545,.919,4,1.93,-0.262,2.08,-0.17%,-1.44,0.00,0.00,CF
91,836,122,Aug 19,CHC,,KCR,W6-4,CG,4,3,2,2,0,0,2,4,0,0,0,0,0,1,0,0,0,0,.326,.375,.564,.939,4,.68,0.240,.69,0.15%,2.35,32.00,44.40,1B
92,837,123,Aug 20,CHC,,KCR,W4-3,CG,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.324,.372,.561,.933,4,.81,-0.014,.89,-0.01%,-0.29,2.00,3.50,1B
93,838,124,Aug 21,CHC,@,DET,W7-6,CG,5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.322,.370,.556,.925,4,.53,0.017,.60,0.01%,0.03,5.00,6.50,CF
94,839,125,Aug 22,CHC,@,DET,L6-8,CG,4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.321,.369,.555,.924,4,1.34,-0.077,1.50,-0.05%,-0.48,7.00,9.20,1B CF
95,840,126,Aug 23,CHC,@,DET,W6-4,CG,4,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.320,.368,.552,.919,4,1.37,0.069,1.56,0.05%,0.96,7.00,10.00,CF
