Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
121,687,123,Aug 18,LAA,,TBR,L6-9,CG(10),5,5,2,2,0,0,1,4,0,0,3,0,0,0,0,0,0,0,.308,.407,.668,1.075,2,2.26,0.128,.25,0.01%,2.62,25.00,35.40,DH
122,688,124,Aug 19 (1),LAA,,TBR,W7-6,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.305,.406,.664,1.070,2,.86,-0.036,.08,0.00%,-0.26,2.00,3.00,DH
123,689,125,Aug 19 (2),LAA,,TBR,L4-18,GS-9,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.306,.407,.664,1.070,2,.45,-0.044,.05,0.00%,1.08,9.00,12.20,DH
124,690,126,Aug 22,LAA,,CIN,L3-4,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.304,.406,.659,1.065,3,1.20,-0.097,.06,0.00%,-0.40,2.00,3.00,DH
125,691,127,Aug 23 (1),LAA,,CIN,L4-9,GS-3,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.305,.407,.667,1.073,2,1.39,0.147,.04,0.00%,1.61,16.00,22.20,DH P
126,692,128,Aug 23 (2),LAA,,CIN,L3-7,CG,5,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.304,.405,.664,1.069,2,1.28,-0.045,.02,0.00%,-0.40,7.00,9.20,DH
127,693,129,Aug 25,LAA,@,NYM,W3-1,CG,5,2,1,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,.305,.408,.665,1.074,2,.90,0.146,.01,0.00%,1.66,13.00,18.20,DH
128,694,130,Aug 26,LAA,@,NYM,W5-3,CG,5,3,2,2,1,1,0,1,2,1,0,0,0,0,0,0,2,0,.307,.412,.672,1.083,2,.41,0.110,.01,0.00%,1.69,33.00,42.90,DH
129,695,131,Aug 27,LAA,@,NYM,L2-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.305,.409,.666,1.075,2,1.17,-0.120,.03,0.00%,-1.10,0.00,0.00,DH
130,696,132,Aug 28,LAA,@,PHI,L4-6,CG,5,4,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.304,.409,.663,1.071,2,1.27,0.004,.01,0.00%,0.32,5.00,6.00,DH
131,697,133,Aug 29,LAA,@,PHI,L7-12,CG,5,5,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,1,.307,.410,.664,1.074,2,1.05,0.088,.01,0.00%,1.60,15.00,19.00,DH
132,698,134,Aug 30,LAA,@,PHI,W10-8,CG,5,4,1,1,0,0,0,1,1,0,2,0,0,0,0,1,0,0,.307,.410,.661,1.071,3,1.63,0.033,.00,0.00%,0.31,9.00,12.70,DH
133,699,135,Sep 1,LAA,@,OAK,L2-9,CG,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.307,.411,.661,1.072,3,.78,-0.033,.00,0.00%,0.20,9.00,12.20,DH
134,700,136,Sep 2,LAA,@,OAK,L1-2,CG,5,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,.306,.413,.658,1.070,2,2.51,0.014,.01,0.00%,0.28,6.00,9.00,DH
135,701,137,Sep 3,LAA,@,OAK,L6-10,CG,5,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,.304,.412,.654,1.066,2,.55,-0.006,.00,0.00%,0.07,9.00,12.00,DH
,,,,,,,62-73,,599,497,102,151,26,8,44,95,91,21,143,3,0,3,1,9,20,6,.304,.412,.654,1.066,,1.02,4.218,.86,2.34%,61.53,1535.00,2035.90,
