Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
28,594,29,Apr 30,LAA,@,MIL,W3-0,CG,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,.294,.355,.541,.897,3,.59,0.073,.58,0.04%,0.56,16.00,21.70,DH
29,595,31 (1),May 3,LAA,@,STL,W6-4,CG,5,5,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.307,.365,.553,.918,3,1.69,0.085,1.78,0.05%,1.11,15.00,18.70,DH P
30,596,32,May 4,LAA,@,STL,W11-7,CG,5,3,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.308,.374,.547,.921,2,.34,0.050,.37,0.03%,0.91,9.00,12.20,DH
31,597,33,May 5,LAA,,TEX,W5-4,CG(10),5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.295,.360,.525,.885,3,1.50,-0.108,1.99,-0.09%,-1.44,0.00,0.00,DH
32,598,34,May 6,LAA,,TEX,L1-10,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.350,.508,.858,3,.89,-0.091,1.23,-0.08%,-0.92,0.00,0.00,DH
33,599,35,May 7,LAA,,TEX,L8-16,CG,5,3,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.295,.366,.512,.877,3,.94,0.176,1.26,0.14%,2.04,14.00,18.70,DH
34,600,36,May 8,LAA,,HOU,W6-4,CG,4,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,.301,.369,.526,.895,3,1.58,0.220,1.89,0.16%,1.82,14.00,19.00,DH
35,601,37,May 9,LAA,,HOU,L1-3,CG,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.294,.362,.515,.877,3,1.05,-0.045,1.28,-0.03%,-0.32,0.00,0.00,DH P
36,602,38,May 10,LAA,,HOU,L4-5,CG,4,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.293,.359,.529,.888,3,.94,0.070,1.14,0.05%,1.14,16.00,22.20,DH
37,603,39,May 12,LAA,@,CLE,W5-4,CG,5,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.289,.363,.521,.884,3,1.88,-0.044,1.94,-0.03%,0.24,4.00,6.00,DH
38,604,40,May 13,LAA,@,CLE,L6-8,CG,5,4,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,.288,.364,.521,.884,3,1.06,0.083,1.13,0.05%,1.27,9.00,12.50,DH
39,605,41,May 14,LAA,@,CLE,L3-4,CG,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,.287,.361,.513,.874,2,2.12,0.126,2.20,0.08%,0.66,10.00,12.50,DH
40,606,42,May 15,LAA,@,BAL,W9-5,CG,6,5,3,4,0,1,1,3,1,0,0,0,0,0,0,0,0,0,.303,.377,.555,.932,3,.67,0.307,.65,0.18%,2.79,38.00,50.10,DH P
41,607,43,May 16,LAA,@,BAL,L3-7,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.296,.369,.541,.910,3,.84,-0.084,.88,-0.05%,-0.85,0.00,0.00,DH
42,608,44,May 17,LAA,@,BAL,L1-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.288,.361,.528,.888,3,1.22,-0.120,1.18,-0.07%,-0.86,0.00,0.00,DH
43,609,45,May 18,LAA,@,BAL,W6-5,CG,5,5,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.292,.362,.542,.903,3,1.75,0.267,1.67,0.15%,1.02,19.00,25.20,DH
44,610,46,May 19,LAA,,MIN,W5-4,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.287,.359,.532,.892,3,.98,-0.032,1.03,-0.02%,-0.54,2.00,3.00,DH
45,611,47,May 20,LAA,,MIN,L2-6,CG,4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.286,.357,.543,.900,3,.93,0.027,.97,0.02%,0.07,14.00,18.70,DH
46,612,48,May 21,LAA,,MIN,W4-2,CG,4,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.287,.360,.539,.899,3,1.11,-0.023,1.04,-0.01%,-0.46,5.00,6.00,DH P
47,613,49,May 22,LAA,,BOS,W2-1,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.282,.358,.530,.888,3,.84,-0.063,.84,-0.04%,-0.74,2.00,3.00,DH
48,614,50,May 23,LAA,,BOS,W4-0,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.281,.356,.524,.880,3,.38,-0.005,.40,0.00%,-0.34,3.00,3.00,DH
49,615,51,May 24,LAA,,BOS,W7-3,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.280,.354,.534,.888,3,.19,0.028,.21,0.02%,0.61,14.00,18.70,DH
50,616,52,May 26,LAA,,MIA,L2-6,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.275,.347,.523,.871,3,1.09,-0.141,1.21,-0.09%,-1.27,0.00,0.00,DH
51,617,53,May 27,LAA,,MIA,L5-8,CG(10),5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,.269,.344,.513,.857,3,1.96,-0.163,1.95,-0.10%,-1.31,7.00,9.00,DH P
52,618,54,May 28,LAA,,MIA,L0-2,CG,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.269,.342,.507,.850,3,1.47,-0.075,1.34,-0.04%,-0.42,3.00,3.00,DH
53,619,55,May 29,LAA,@,CHW,W6-4,CG,5,4,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.263,.339,.498,.837,3,.84,-0.051,.72,-0.03%,-1.15,4.00,6.20,DH
54,620,56,May 30,LAA,@,CHW,L3-7,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.263,.338,.507,.845,3,.67,0.079,.62,0.04%,0.35,14.00,18.70,DH
55,621,57,May 31,LAA,@,CHW,W12-5,GS-9,4,3,3,2,0,0,2,4,1,0,0,0,0,0,0,0,0,0,.269,.345,.538,.882,3,.55,0.191,.46,0.10%,3.45,36.00,50.60,DH
56,622,58,Jun 1,LAA,@,HOU,L2-5,CG,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.267,.342,.530,.872,3,1.35,-0.108,1.44,-0.07%,-1.04,3.00,3.00,DH
57,623,59,Jun 2,LAA,@,HOU,L2-6,CG,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.262,.339,.520,.859,1,.95,-0.095,.97,-0.06%,-0.86,2.00,3.00,DH P
58,624,60,Jun 3,LAA,@,HOU,L6-9,CG,5,5,2,4,1,1,0,2,0,0,0,0,0,0,0,1,0,0,.274,.348,.540,.888,1,.72,0.267,.66,0.15%,3.97,27.00,34.40,DH
59,625,61,Jun 4,LAA,@,HOU,W2-1,CG,4,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.274,.346,.539,.885,1,1.11,0.220,.94,0.11%,0.51,7.00,9.50,DH
60,626,62,Jun 6,LAA,,CHC,W7-4,CG,4,2,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.276,.352,.552,.904,2,1.11,0.086,.85,0.04%,1.39,20.00,27.90,DH
61,627,63,Jun 7,LAA,,CHC,W6-2,CG,5,4,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,.275,.353,.551,.904,2,.75,0.039,.58,0.02%,-0.68,17.00,21.00,DH
62,628,64,Jun 8,LAA,,CHC,W3-1,CG,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.274,.351,.544,.894,2,.94,-0.094,.80,-0.05%,-1.31,3.00,3.00,DH
63,629,65,Jun 9,LAA,,SEA,W5-4,CG,4,4,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,.282,.356,.563,.920,2,.82,0.269,.80,0.16%,2.19,24.00,31.20,DH P
64,630,66,Jun 10,LAA,,SEA,L2-6,CG,4,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.281,.355,.570,.925,2,1.08,0.078,1.20,0.05%,0.83,16.00,22.20,DH
65,631,67,Jun 11,LAA,,SEA,W9-4,CG,5,5,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.287,.359,.571,.930,2,.47,0.003,.47,0.00%,1.00,11.00,12.20,DH
